rank,drug_a,drug_b,priority_score,p_empirical,q_value,permutation_z,signed_reversal,reversal_efficiency,reversal_gain_over_best_single,counter_therapeutic,gene_coverage,pathway_coverage,axis_coverage,target_complementarity,compartment_complementarity,cns_reach,regimen_compatibility,network_separation,proximity_z_a,proximity_z_b,complementary_exposure,evidence_score,uncertainty,safety_union,safety_overlap,worst_risk_domain,same_mechanism,shared_safety_class,redundant_targets,excluded_from_primary_ranking,pareto_optimal
450,Fenebrutinib,Natalizumab,1.1886,0.00249,0.00837,2.3256,0.0701,0.3999,0.0297,0.0,0.1753,0.5,0.4,1.0,0.5,0.6,0.6867,0.0714,-2.6962,-3.0541,True,0.6667,0.275,0.2873,0.0618,infection,False,False,False,False,False
451,Dimethyl fumarate,Memantine,1.1882,0.01995,0.0334,2.0694,0.0498,0.3844,0.0135,0.0,0.1295,0.4,0.6,1.0,0.75,0.75,0.8667,-0.125,-2.3075,-2.6276,False,0.3333,0.4,0.1196,0.0,infection,False,False,False,False,False
452,Methylprednisolone,Ozanimod,1.1879,0.00998,0.02038,2.2612,0.0737,0.4725,0.018,0.0,0.1561,0.4,0.2,0.8462,0.5,0.6,0.5533,-0.2,-3.1022,-1.8533,False,1.0,0.275,0.2663,0.0475,infection,False,False,False,False,False
453,Dimethyl fumarate,Interferon beta-1b,1.1878,0.00998,0.02038,2.5775,0.0639,0.3764,0.0277,0.0029,0.1699,0.4,0.4,0.875,0.5,0.55,0.82,-0.2361,-2.3075,-3.2696,False,1.0,0.275,0.1853,0.0324,infection,False,False,False,False,True
454,Elezanumab,Hydroxychloroquine,1.1875,0.00249,0.00837,3.1919,0.0539,0.3325,0.0254,0.0,0.1621,0.4,0.8,1.0,0.75,0.55,0.6867,0.0,-2.7183,-3.2153,False,0.3333,0.575,0.098,0.0,ocular,False,False,False,False,False
455,Evobrutinib,High-dose biotin,1.1875,0.00249,0.00837,3.5754,0.0401,0.3411,0.02,0.0,0.1177,0.5,0.6,1.0,0.75,0.6,1.0,0.4667,-2.076,-0.7599,True,0.6667,0.525,0.1343,0.0,hepatic,False,False,False,False,False
456,Elezanumab,Vidofludimus calcium,1.1873,0.00249,0.00837,3.2067,0.0504,0.3273,0.0219,0.0,0.1539,0.5,0.8,1.0,0.75,0.4,0.82,0.3429,-2.7183,-1.6832,True,0.3333,0.5,0.173,0.0025,teratogenicity,False,False,False,False,False
457,Epigallocatechin gallate,Ocrelizumab,1.1873,0.00249,0.00837,2.3795,0.0567,0.4659,0.0126,0.0,0.1217,0.5,0.6,1.0,0.5,0.45,0.5533,0.6111,-1.555,-2.7449,True,0.3333,0.475,0.2324,0.0,infection,False,False,False,False,False
458,Ocrelizumab,Teriflunomide,1.1873,0.07481,0.08723,1.349,0.0682,0.4462,0.0241,0.0,0.1528,0.4,0.4,1.0,0.5,0.4,0.82,0.1111,-2.7449,-3.0107,True,1.0,0.225,0.3696,0.0353,infection,False,False,False,False,False
459,Ofatumumab,Ozanimod,1.1872,0.08229,0.09458,1.3308,0.0619,0.5166,0.0218,0.0,0.1197,0.3,0.2,1.0,0.5,0.5,0.6867,0.2875,-2.3838,-1.8533,True,1.0,0.225,0.2912,0.0392,infection,False,False,False,False,True
460,Ofatumumab,Pioglitazone,1.1872,0.00998,0.02038,2.1595,0.0651,0.447,0.025,0.0,0.1456,0.5,0.6,1.0,0.5,0.4,0.82,0.4107,-2.3838,-2.6661,True,0.3333,0.4,0.2578,0.0088,infection,False,False,False,False,False
461,Inebilizumab,Riluzole,1.187,0.05736,0.0709,1.4651,0.053,0.4448,0.0181,0.0,0.1191,0.2,0.4,1.0,1.0,0.65,0.5533,0.5595,-2.8083,-2.6115,True,0.3333,0.425,0.2304,0.0,infection,False,False,False,False,False
462,Dimethyl fumarate,Natalizumab-biosimilar,1.1869,0.00249,0.00837,2.5953,0.065,0.4352,0.0287,0.0,0.1493,0.5,0.4,1.0,0.5,0.55,0.6867,0.0556,-2.3075,-3.1195,True,0.6667,0.275,0.2255,0.0706,infection,False,False,False,False,False
463,Evobrutinib,Siponimod,1.1868,0.00249,0.00837,2.2664,0.0577,0.3563,0.0193,0.0,0.1619,0.7,0.6,0.9286,0.5,0.65,0.8667,0.05,-2.076,-2.5366,True,0.6667,0.325,0.3254,0.0462,infection,False,False,False,False,False
464,Teriflunomide,Ublituximab,1.1865,0.05985,0.07304,1.5351,0.0633,0.4553,0.0241,0.0,0.139,0.4,0.4,1.0,0.5,0.4,0.6867,0.2143,-3.0107,-2.5884,True,1.0,0.25,0.3471,0.0294,infection,False,False,False,False,False
465,Minocycline,Phenytoin,1.1864,0.00499,0.01301,2.5518,0.0606,0.4168,0.0112,0.0,0.1454,0.5,0.4,0.9091,1.0,0.7,0.8667,-0.3889,-3.6179,-2.5343,False,0.3333,0.5,0.2265,0.0137,teratogenicity,False,False,False,False,False
466,Ocrelizumab,Ozanimod,1.1864,0.05486,0.06865,1.4868,0.0658,0.5112,0.0218,0.0,0.1288,0.3,0.2,1.0,0.5,0.5,0.82,0.2667,-2.7449,-1.8533,True,1.0,0.225,0.3118,0.0471,infection,False,False,False,False,True
467,Phenytoin,Rituximab,1.1853,0.05486,0.06865,1.5168,0.0487,0.4818,0.0119,0.0,0.1011,0.2,0.4,1.0,1.0,0.7,0.6867,0.5952,-2.5343,-2.5884,True,0.3333,0.4,0.2941,0.0,infection,False,False,False,False,False
468,Alpha-lipoic acid,Inebilizumab,1.1843,0.00249,0.00837,2.7558,0.0522,0.4274,0.0173,0.0,0.1222,0.4,0.6,1.0,0.5,0.5,0.5533,0.7857,-1.7729,-2.8083,True,0.3333,0.45,0.1618,0.0,infection,False,False,False,False,False
469,Frexalimab,Laquinimod,1.1843,0.00748,0.01683,2.2095,0.0657,0.3897,0.0304,0.0,0.1686,0.5,0.6,0.9333,0.5,0.55,0.82,-0.0625,-2.5456,-4.2322,False,0.6667,0.45,0.2608,0.0,infection,False,False,False,False,False
470,Riluzole,Secukinumab,1.1843,0.00499,0.01301,2.301,0.0431,0.4185,0.0181,0.0,0.103,0.3,0.4,1.0,1.0,0.65,0.6867,0.7083,-2.6115,-1.895,True,0.3333,0.5,0.1373,0.0,infection,False,False,False,False,False
471,Ibudilast,Remibrutinib,1.1841,0.03242,0.04712,1.7405,0.0576,0.4316,0.0173,0.0,0.1335,0.4,0.6,0.8333,0.75,0.7,1.0,-0.2111,-4.4103,-1.7308,False,0.3333,0.45,0.1494,0.0182,hepatic,False,False,False,False,False
472,Pioglitazone,Ublituximab,1.184,0.00748,0.01683,2.2923,0.0641,0.4556,0.025,0.0,0.1408,0.5,0.6,1.0,0.5,0.4,0.82,0.4286,-2.6661,-2.5884,True,0.3333,0.425,0.2578,0.0088,infection,False,False,False,False,False
